Gene_ID,Transcript_Name,Type
WBGene00007063,2L52.1a.1,coding_transcript
WBGene00007063,2L52.1b.1,coding_transcript
WBGene00007064,2RSSE.1a.1,coding_transcript
WBGene00007064,2RSSE.1b.1,coding_transcript
WBGene00007064,2RSSE.1c.1,coding_transcript
WBGene00007065,3R5.1a.1,coding_transcript
WBGene00007065,3R5.1b.1,coding_transcript
WBGene00003525,4R79.1a.1,coding_transcript
WBGene00003525,4R79.1b.1,coding_transcript
WBGene00007067,4R79.2a.1,coding_transcript
WBGene00007067,4R79.2b.1,coding_transcript
WBGene00004964,AC3.10.1,coding_transcript
WBGene00004964,AC3.10.2,coding_transcript
WBGene00077503,AC3.12a.1,coding_transcript
WBGene00077503,AC3.12b.1,coding_transcript
WBGene00005532,AC3.1a.1,coding_transcript
WBGene00005532,AC3.1b.1,coding_transcript
WBGene00007070,AC3.2.1,coding_transcript
WBGene00000024,AC3.3.1,coding_transcript
WBGene00004098,AC3.4.1,coding_transcript
WBGene00007071,AC3.5a.1,coding_transcript
WBGene00007071,AC3.5b.1,coding_transcript
WBGene00000724,AC3.6.1,coding_transcript
WBGene00007072,AC3.7.1,coding_transcript
WBGene00007073,AC3.8.1,coding_transcript
WBGene00006428,AC7.1a.1,coding_transcript
WBGene00006428,AC7.1b.1,coding_transcript
WBGene00004929,AC7.2a.1,coding_transcript
WBGene00004929,AC7.2b.1,coding_transcript
WBGene00004929,AC7.2c.1,coding_transcript
WBGene00004929,AC7.2d.1,coding_transcript
WBGene00014997,AC7.3.1,coding_transcript
WBGene00043988,AC8.10.1,coding_transcript
WBGene00043989,AC8.11.1,coding_transcript
WBGene00007075,AC8.3.1,coding_transcript
WBGene00007076,AC8.4.1,coding_transcript
WBGene00007082,AH10.1.1,coding_transcript
WBGene00007083,AH10.2.1,coding_transcript
WBGene00007085,AH10.4.1,coding_transcript
WBGene00001528,AH6.1.1,coding_transcript
WBGene00005032,AH6.10.1,coding_transcript
WBGene00005033,AH6.11.1,coding_transcript
WBGene00005034,AH6.12.1,coding_transcript
WBGene00005035,AH6.14.1,coding_transcript
WBGene00219290,AH6.17.1,coding_transcript
WBGene00007080,AH6.2.1,coding_transcript
