Wormbase_ID,Status,Sequence_Name,Gene_Name,Other_Name
WBGene00000101,Live,D1022.7,aka-1,kap-1
WBGene00000120,Live,C01F6.5,aly-1,ref-1
WBGene00000121,Live,F23B2.6,aly-2,ref-2
WBGene00000189,Live,ZK632.8,arl-5,arl-2
WBGene00000190,Live,F45E4.1,warf-1,arl-6
WBGene00000193,Live,C38D4.8,arl-6,arl-query
WBGene00000225,Live,C38C6.2,atgp-2,atg-2
WBGene00000265,Live,K04C2.4,brd-1,K04C2.a
WBGene00000279,Live,F54D8.4,cah-1,CELE_F54D8.4
WBGene00000294,Live,F41G4.2,cas-1,cah-1
WBGene00000366,Live,R10E11.1,cbp-1,cep-1
WBGene00000464,Live,Y54F10AM.4,ceh-44,cone-1
WBGene00000467,Live,F52B5.5,cep-1,CELE_F52B5.5
WBGene00000481,Live,ZC416.8,cha-1,CELE_CHA-1
WBGene00000496,Live,T25G3.2,chs-1,chi-1
WBGene00000497,Live,F48A11.1,chs-2,chs-1
WBGene00000509,Live,C28D4.2,cka-1,CELE_C28D4.2
WBGene00000522,Live,C09F12.1,clc-1,CELE_C09F12.1
WBGene00000535,Live,K08B4.6,cpi-1,cli-2
WBGene00000594,Live,T28C6.6,col-3,col-117
WBGene00000691,Live,T28C6.4,col-117,col-3
WBGene00000744,Live,T10E10.7,col-171,T10E10.a
WBGene00000775,Live,F38E11.3,cpin-1,cpi-1
WBGene00000945,Dead,,dec-7,
WBGene00001009,Live,,dmo-1,mod-1
WBGene00001126,Live,,dyf-10,
WBGene00001140,Live,,eat-9,
WBGene00001147,Live,Y105E8A.7,eat-18,CELE_EAT-18
WBGene00001159,Live,C26D10.5,eff-1,elf-1
WBGene00001358,Live,F22B5.1,evl-20,arl-5
WBGene00001498,Live,F22B5.9,fars-3,frs-2
WBGene00001589,Live,H04J21.3,gip-1,CeGrip
WBGene00001608,Live,R07B1.8,pugs-5,CELE_R07B1.8
WBGene00001979,Live,K05C4.6,hmp-2,mad-1
WBGene00002015,Live,T27E4.8,hsp-16.1,hsp-16
WBGene00002016,Live,Y46H3A.3,hsp-16.2,hsp-16
WBGene00002017,Live,T27E4.2,hsp-16.11,hsp-16
WBGene00002018,Live,Y46H3A.2,hsp-16.41,hsp-16
WBGene00002019,Live,T27E4.3,hsp-16.48,hsp-16
WBGene00002020,Live,T27E4.9,hsp-16.49,hsp-16
WBGene00002042,Live,H26D21.1,hus-1,H26D21.1
WBGene00002084,Live,F13B12.5,ins-1,ILP1
WBGene00002085,Live,ZK75.2,ins-2,CELE_ZK75.2
WBGene00002100,Live,F56F3.6,ins-17,ins-2
WBGene00002101,Live,T28B8.2,ins-18,ins-1
WBGene00002182,Live,F08F8.3,kap-1,CELE_F08F8.3
WBGene00002193,Live,T13H10.1,kin-5,CELE_T13H10.1
WBGene00002196,Live,T01G9.6,kin-10,kin-5
WBGene00002240,Live,F58D5.4,ksr-2,pex-1
WBGene00002689,Live,,let-479,
WBGene00002928,Live,,let-821,
WBGene00002977,Live,Y105E8A.7,lev-10,1O991
WBGene00003004,Live,,lin-15,lin-15AB
WBGene00003121,Live,,mad-2,
WBGene00003160,Live,C50F4.11,mdf-1,mad-1
WBGene00003161,Live,Y69A2AR.30,mdf-2,mad-2
WBGene00003162,Live,F20H11.3,mdh-2,mdh-1
WBGene00003296,Live,Y51H4A.27,,21ur-14297
WBGene00003386,Live,K06C4.6,mod-1,CELE_K06C4.6
WBGene00003390,Live,H20J04.8,mog-2,sap-1
WBGene00003600,Live,R09G11.2,nhr-1,crf-1
WBGene00003637,Live,C24G6.4,nhr-47,csr-1
WBGene00003830,Live,T03D8.1,num-1,cka-1
WBGene00003834,Live,C15H11.3,nxf-1,nfx-1
WBGene00003862,Live,C08H9.5,old-1,tkr-1
WBGene00003863,Live,ZK938.5,old-2,tkr-2
WBGene00004048,Live,K04B12.1,plx-2,cep-1
WBGene00004186,Live,F22D6.5,prpf-4,prp-4
WBGene00004191,Live,C11H1.4,prx-1,pex-1
WBGene00004202,Live,C37A5.9,pry-1,Axin
WBGene00004213,Live,C48D5.2,ptp-1,nemPTP
WBGene00004215,Live,C09D8.1,ptp-3,ptp-1
WBGene00004307,Live,C27B7.8,rap-1,rrp-1
WBGene00004334,Live,T01E8.2,ref-1,hlh-24
WBGene00004335,Live,C47C12.3,ref-2,CELE_C47C12.3
WBGene00004413,Live,B0250.1,rpl-8,rpl-2
WBGene00004419,Live,Y24D9A.4,rpl-7A,rpl-8
WBGene00004422,Live,T22F3.4,rpl-11.1,nog-1
WBGene00004507,Live,C18H9.7,rpy-1,rap-1
WBGene00004512,Live,F31C3.7,rrn-1.1,let-209
WBGene00004513,Live,F31C3.8,rrn-1.2,let-209
WBGene00004698,Live,W02B12.3,rsp-1,srp-5
WBGene00004699,Live,W02B12.2,rsp-2,srp-4
WBGene00004701,Live,EEED8.7,rsp-4,srp-2
WBGene00004702,Live,T28D9.2,rsp-5,srp-3
WBGene00004703,Live,C33H5.12,rsp-6,srp-1
WBGene00004736,Live,K11D9.2,sca-1,ser-1
WBGene00004776,Live,F59C12.2,ser-1,5-HT2CeL
WBGene00004828,Live,,sle-1,slo-1
WBGene00004830,Live,Y51A2D.19,slo-1,nsy-3
WBGene00004961,Live,,spe-7,
WBGene00005209,Dead,,,srg-52
WBGene00005642,Live,C05E4.3,srp-1,CELE_C05E4.3
WBGene00005643,Live,C05E4.1,srp-2,pes-21
WBGene00005644,Live,Y32G9A.4,srp-3,srp-4
WBGene00005646,Live,C03G6.18,srp-5,CELE_C03G6.18
WBGene00006306,Live,F07A5.5,sue-1,CELE_F07A5.5
WBGene00006315,Live,F58G1.10,sup-6,U1
WBGene00006318,Live,F34D6.3,sup-9,twk-23
WBGene00006322,Live,,sup-13,
WBGene00006354,Live,,sus-1,sue-1
WBGene00006531,Live,F16D3.1,tba-5,dyf-10
WBGene00006576,Live,C38C10.1,tkr-1,CELE_C38C10.1
WBGene00006656,Live,F21C3.1,twk-1,twk-7
WBGene00006658,Live,M110.2,twk-3,twk-14
WBGene00006659,Live,ZK1067.5,twk-4,twk-20
WBGene00006660,Live,B0334.2,twk-5,twk-1
WBGene00006661,Live,F17C8.5,twk-6,twk-5
WBGene00006662,Live,F22B7.7,twk-7,twk-8
WBGene00006663,Live,ZC410.4,twk-8,twk-19
WBGene00006664,Live,ZK1251.8,twk-9,twk-21
WBGene00006665,Live,K04A8.4,twk-10,twk-24
WBGene00006666,Live,F20A1.7,twk-11,CELE_F20A1.7
WBGene00006667,Live,F29F11.4,twk-12,twk-9
WBGene00006668,Live,R04F11.4,twk-13,twk-15
WBGene00006669,Live,K01D12.4,twk-14,twk-12
WBGene00006670,Live,F52E4.4,twk-16,CELE_F52E4.4
WBGene00006671,Live,C44E12.3,twk-17,CELE_C44E12.3
WBGene00006672,Live,C24A3.6,twk-18,mah-2
WBGene00006673,Live,C40C9.1,twk-20,CELE_C40C9.1
WBGene00006674,Live,T01B4.1,twk-21,twk-16
WBGene00006675,Live,T01B4.2,twk-22,twk-17
WBGene00006676,Live,F19D8.1,twk-23,twk-6
WBGene00006677,Live,F55C5.3,twk-24,twk-11
WBGene00006678,Live,M04B2.5,twk-25,twk-13
WBGene00006679,Live,C33D12.3,twk-26,twk-3
WBGene00006684,Live,F53C11.6,twk-32,twk-10
WBGene00006710,Live,Y110A2AR.2,ubc-15,Y110A2AM.a
WBGene00006756,Live,ZC416.8,unc-17,CELE_UNC-17
WBGene00006786,Live,Y60A3A.1,unc-51,frs-2
WBGene00006792,Live,T06H11.1,unc-58,twk-18
WBGene00006815,Live,W01A11.3,unc-83,CeGrip
WBGene00006947,Live,ZK1290.12,wrt-1,ZK1290.5
WBGene00006968,Live,K08F11.4,yars-2,yrs-2
WBGene00007024,Live,W01A8.1,plin-1,mdt-28
WBGene00007048,Live,C16A3.7,nfx-1,tag-182
WBGene00007067,Live,4R79.2,rabr-2,4R79.2
WBGene00007146,Live,B0334.6,npr-41,B0334.6
WBGene00007201,Live,B0564.1,exos-4.1,CELE_EXOS-4.1
WBGene00007219,Live,C01A2.7,mihp-1,mip-1
WBGene00007297,Live,C04F12.1,vsra-1,C04F12.1
WBGene00007318,Dead,,,C05A9.3
WBGene00007815,Dead,,,C30D11.2
WBGene00007868,Live,C32H11.5,srlf-4,C32H11.5
WBGene00007869,Live,C32H11.6,srlf-5,C32H11.6
WBGene00007871,Live,C32H11.8,srlf-6,C32H11.8
WBGene00007972,Live,C36B1.5,prp-4,CELE_C36B1.5
WBGene00008005,Live,C38D4.4,mip-1,eggd-1
WBGene00008123,Live,C47A4.2,ent-4,ent-6
WBGene00008151,Live,C47E12.7,rrp-1,CELE_C47E12.7
WBGene00008480,Live,E04D5.1,eif-2A,eIF2alpha
WBGene00008481,Live,E04D5.2,frpr-21,E04D5.2
WBGene00008566,Live,F08A8.3,acox-1.3,acox-3
WBGene00008601,Live,F09A5.4,mob-2,mob-1
WBGene00008610,Live,F09C3.2,nanp-1,eat-9
WBGene00008671,Live,F11A5.3,rabr-4,F11A5.3
WBGene00008672,Live,F11A5.4,rabr-3,F11A5.4
WBGene00008716,Live,F11F1.4,srlf-9,F11F1.4
WBGene00008717,Live,F11F1.5,srlf-10,F11F1.5
WBGene00008753,Live,F13E9.4,srlf-13,F13E9.4
WBGene00008757,Live,F13E9.8,srlf-14,F13E9.8
WBGene00008759,Live,F13E9.10,srlf-11,F13E9.10
WBGene00008775,Live,F13H10.4,mogs-1,agl-1
WBGene00008780,Live,F14B4.2,hxk-1,CELE_F14B4.2
WBGene00009223,Live,F28F8.5,mdt-28,CELE_F28F8.5
WBGene00009308,Live,F32A11.3,spe-18,spe-7
WBGene00009351,Dead,,,F32H5.8
WBGene00009356,Live,F33A8.10,srlf-15,F33A8.10
WBGene00009466,Live,F36D1.7,spex-2,F36D1.7
WBGene00009499,Live,F36H2.2,ent-6,ent-7
WBGene00009551,Live,F38H4.10,mob-1,CELE_F38H4.10
WBGene00009653,Live,F43D9.1,ptr-25,F43D9.1
WBGene00009686,Live,F44D12.9,ent-7,ent-4
WBGene00010059,Live,F54E4.3,,rip-1
WBGene00010143,Live,F56A12.2,npr-43,F56A12.2
WBGene00010179,Live,F57A8.4,npr-39,F57A8.4
WBGene00010336,Live,F59F4.1,acox-1.6,acox-6
WBGene00010346,Dead,,,F59F5.8
WBGene00010347,Dead,,,H01A20.2
WBGene00010409,Live,H21P03.2,nse-4,H21P03.2
WBGene00010497,Live,K02B12.4,axl-1,Axin
WBGene00010540,Live,K03H1.5,dec-7,CELE_K03H1.5
WBGene00010774,Live,K11E4.2,shc-3,K11E4.2
WBGene00010845,Live,M03C11.8,smrd-1,M03C11.8
WBGene00010885,Live,M7.9,srlf-18,M7.9
WBGene00010886,Live,M7.10,srlf-17,M7.10
WBGene00010973,Live,R01H10.5,rip-1,CELE_R01H10.5
WBGene00011050,Live,R06A4.8,agl-1,CELE_R06A4.8
WBGene00011080,Dead,,,R07B1.8
WBGene00011148,Dead,,,R08D7.8
WBGene00011275,Live,R53.6,psf-1,CELE_R53.6
WBGene00011344,Live,T01G9.2,,ORF1
WBGene00011437,Live,T04F3.2,smoc-1,susm-1
WBGene00011449,Live,T04H1.2,slfl-5,T04H1.2
WBGene00011484,Live,T05E11.8,srlf-24,T05E11.8
WBGene00011735,Live,T12D8.8,hip-1,CELE_T12D8.8
WBGene00011961,Live,T23G4.5,srlf-26,T23G4.5
WBGene00012153,Dead,,,VT23B5.1
WBGene00012198,Live,W02B8.2,citk-1,W02B8.2
WBGene00012736,Dead,,,Y40B1A.5
WBGene00013328,Live,Y57G11C.39,srlf-27,Y57G11C.39
WBGene00013459,Live,Y67A10A.10,srlf-28,Y67A10A.10
WBGene00013496,Live,Y70D2A.1,npr-40,Y70D2A.1
WBGene00013666,Live,Y105E8A.1,,yrs-2
WBGene00013694,Live,Y106G6A.1,mekk-3,CELE_Y106G6A.1
WBGene00014006,Live,ZK596.1,srlf-30,ZK596.1
WBGene00014021,Live,ZK637.1,svop-1,ORF1
WBGene00014033,Live,ZK643.1,arrd-15,sup-13
WBGene00014090,Live,ZK822.2,srlf-31,ZK822.2
WBGene00014091,Live,ZK822.4,srlf-32,ZK822.4
WBGene00014173,Live,ZK970.7,srlf-34,ZK970.7
WBGene00014288,Live,C47F8.9,,U2
WBGene00014312,Live,F08G2.11,,U2
WBGene00014316,Live,F08H9.10,,U1
WBGene00014317,Live,F08H9.11,,U1
WBGene00014335,Live,F15H9.5,,U2
WBGene00014336,Live,F15H9.6,,U2
WBGene00014370,Live,F40G12.13,,U1
WBGene00014371,Live,F40G12.14,,U1
WBGene00014483,Live,R05D7.6,,U2
WBGene00014511,Live,T08G5.11,,U1
WBGene00014577,Live,Y47H9A.2,,U2
WBGene00014589,Live,Y54G9A.8,,U2
WBGene00015116,Live,B0286.3,paic-1,pacs-1
WBGene00015155,Live,B0353.1,,Y55B1AL.c
WBGene00015299,Live,C01F1.4,npr-42,C01F1.4
WBGene00015381,Live,C03B1.13,,T10E10.a
WBGene00015783,Live,C15B12.1,,SOX
WBGene00015788,Live,C15B12.8,,SOX
WBGene00016029,Live,C24A1.2,elf-1,W02B3.g
WBGene00016179,Live,C28C12.3,srlf-2,C28C12.3
WBGene00016180,Live,C28C12.4,srlf-3,C28C12.4
WBGene00016460,Live,C35E7.8,slfl-3,C35E7.8
WBGene00016533,Live,C39D10.6,latd-1,C39D10.6
WBGene00016594,Live,C42D4.1,srlf-7,C42D4.1
WBGene00016761,Live,C49A9.7,tkr-2,CELE_C49A9.7
WBGene00017546,Live,F18A1.5,rpa-1,CeRPA
WBGene00017578,Live,F18F11.5,drl-1,mekk-3
WBGene00017641,Live,F20D12.1,csr-1,CELE_F20D12.1
WBGene00017649,Dead,,,F20H11.6
WBGene00017778,Live,F25B5.7,nono-1,psf-1
WBGene00017934,Live,F30B5.4,osgn-1,F30B5.4
WBGene00018054,Live,F35F10.4,,CELE_F35F10.18
WBGene00018118,Live,F36H12.2,slfl-4,F36H12.2
WBGene00018372,Dead,,,F42H10.9
WBGene00018491,Live,F46E10.10,mdh-1,F46E10.g
WBGene00018870,Live,F55C12.2,,CELE_F55C12.2
WBGene00019060,Live,F58F9.7,acox-3,acox-6
WBGene00019065,Live,F58G4.3,srlf-16,F58G4.3
WBGene00019087,Live,F59A6.5,citk-2,F59A6.5
WBGene00019160,Live,H05L03.3,nlp-49,crf-1
WBGene00019223,Dead,,,H20J04.8
WBGene00019259,Live,H34C03.2,usp-4,H34C03.2
WBGene00019317,Live,K02E10.1,rabr-1,K02E10.1
WBGene00019380,Live,K04C2.2,,K04C2.a
WBGene00019667,Live,K12B6.2,spe-49,let-479
WBGene00019748,Live,M03A8.2,atg-2,CELE_M03A8.2
WBGene00019767,Live,M04F3.1,rpa-2,CeRPA
WBGene00019801,Live,PAR2.3,aak-1,AMPK
WBGene00019971,Live,R09A1.1,ergo-1,eri-8
WBGene00020014,Live,R11G11.6,srlf-19,R11G11.6
WBGene00020106,Live,R151.1,,R151.8A
WBGene00020113,Live,R151.10,,R151.8A
WBGene00020142,Live,T01C8.1,aak-2,AMPK
WBGene00020246,Live,T05B11.3,clic-1,clc-1
WBGene00020297,Live,T07A9.9,nog-1,phi-58
WBGene00020405,Dead,,,T10B11.9
WBGene00020550,Live,T17H7.1,idpp-1,T17H7.1
WBGene00020843,Live,T27A3.7,nse-1,T27A3.7
WBGene00020855,Live,T27C4.2,hpo-36,Y39H10A.c
WBGene00020939,Live,W02D7.3,smex-1,W02D7.3
WBGene00021263,Live,Y22D7AR.10,spex-3,Y22D7AR.10
WBGene00021351,Live,Y37E3.10,eif-2alpha,eIF2alpha
WBGene00021480,Dead,,,Y39H10A.c
WBGene00021903,Dead,,,Y55B1AL.c
WBGene00021945,Live,Y55F3BR.8,lem-4,Y55F3BR.a
WBGene00022091,Suppressed,Y69A2AR.20,,
WBGene00022306,Live,Y77E11A.1,hxk-3,hxk-1
WBGene00022417,Live,Y102A11A.7,smex-2,Y102A11A.7
WBGene00022449,Dead,,,Y110A2AM.a
WBGene00022469,Live,Y119C1B.3,,Y119C1B.b
WBGene00022553,Live,ZC204.1,srlf-29,ZC204.1
WBGene00022645,Live,ZK6.11,irg-8,ZK6.11
WBGene00022717,Live,ZK370.3,hipr-1,hip-1
WBGene00022816,Live,ZK783.1,fbn-1,let-821
WBGene00022887,Live,ZK1290.5,,CELE_ZK1290.5
WBGene00023497,Live,ZK662.4,lin-15B,lin-15
WBGene00023498,Live,ZK678.1,lin-15A,lin-15
WBGene00043346,Dead,,,F49F1.2
WBGene00043347,Dead,,,F49F1.4
WBGene00043362,Dead,,,F55C12.2
WBGene00043428,Dead,,,K12H6.10
WBGene00043794,Dead,,,Y69A2AR.20
