年份,BPS(元),最高本淨比(PBR),最低本淨比(PBR),平均本淨比(PBR)
24Q3,44.97,1.49,0.86,1.14
2023,45.41,1.79,1.35,1.58
2022,47.3,1.99,1.27,1.65
2021,52.21,1.78,1.26,1.59
2020,43.45,1.68,1.09,1.47
2019,43.45,1.84,1.52,1.7
2018,47.37,1.87,1.52,1.72
2017,44.84,1.79,1.54,1.65
2016,42.68,1.75,1.29,1.48
2015,40.89,1.94,1.22,1.61
2014,40.28,1.86,1.45,1.65
2013,35.62,1.97,1.43,1.71
2012,31.4,2.32,1.46,1.85
2011,33.7,2.64,1.6,2.2
2010,36.05,2.07,1.38,1.75
2009,31.91,1.83,0.97,1.43
2008,29.54,3.11,1.16,2.02
2007,37.84,2.62,1.39,1.9
2006,32.53,1.67,1.3,1.46
2005,26.4,1.91,1.39,1.64
2004,25.55,2.02,1.55,1.82
2003,22.64,2.2,1.3,1.73
2002,22.29,1.78,1.1,1.43
2001,22.19,2.05,0.82,1.38
2000,23.95,3.32,1.45,2.45
1999,22.73,3.1,1.69,2.23
1998,19.9,3.37,1.46,2.42
1997,19.75,4.51,2.49,3.42
1996,18.24,3.95,2.08,2.73
1995,18.28,3.56,2.11,2.67
1994,17.68,4.19,2.86,3.33
1993,16.94,3.96,2.04,2.43
1992,16.45,3.1,2.11,2.52
1991,16.43,4.05,1.8,2.96
1990,16.16,-,-,-
