年份,EPS(元),最高本益比(PER),最低本益比(PER),平均本益比(PER)
24Q3,0.38,132,76.1,101
2023,0.8,102,76.4,89.8
2022,4.05,23.2,14.8,19.2
2021,10.25,9.08,6.4,8.11
2020,3.24,22.6,14.6,19.7
2019,2.91,27.5,22.7,25.3
2018,6.65,13.3,10.8,12.2
2017,6.87,11.7,10.1,10.8
2016,6.16,12.1,8.91,10.2
2015,4.5,17.7,11.1,14.6
2014,4,18.8,14.6,16.6
2013,3.19,21.9,16,19.1
2012,0.55,133,84.1,106
2011,2.95,30.2,18.3,25.1
2010,5.22,14.3,9.5,12.1
2009,2.09,27.9,14.8,21.8
2008,1.23,74.6,27.8,48.5
2007,7.75,12.8,6.8,9.29
2006,6.23,8.72,6.79,7.6
2005,5.4,9.35,6.8,7.99
2004,6.23,8.27,6.37,7.47
2003,2.61,19.1,11.3,15
2002,2.22,17.8,11,14.3
2001,1.35,33.8,13.4,22.7
2000,4.02,19.8,8.63,14.6
1999,2.64,26.7,14.6,19.2
1998,3.01,22.3,9.67,16
1997,2.24,39.7,21.9,30.1
1996,2.86,25.2,13.3,17.4
1995,3.29,19.8,11.7,14.8
1994,2.86,25.9,17.7,20.6
1993,-,-,-,-
1992,-,-,-,-
1991,-,-,-,-
1990,-,-,-,-
