date,stock_id,HoldingSharesLevel,people,percent,unit
2015-04-30,0050,1-999,5258,0.11,1129938
2015-04-30,0050,"30,001-40,000",222,0.82,8115621
2015-04-30,0050,"15,001-20,000",625,1.18,11652694
2015-04-30,0050,"40,001-50,000",160,0.75,7443217
2015-04-30,0050,"50,001-100,000",241,1.78,17580906
2015-04-30,0050,"100,001-200,000",112,1.67,16554421
2015-04-30,0050,"10,001-15,000",829,1.08,10753433
2015-04-30,0050,"200,001-400,000",58,1.63,16185000
2015-04-30,0050,"400,001-600,000",22,1.1,10919413
2015-04-30,0050,"5,001-10,000",3070,2.49,24636634
2015-04-30,0050,"600,001-800,000",12,0.85,8423500
2015-04-30,0050,"800,001-1,000,000",6,0.57,5721000
2015-04-30,0050,"1,000-5,000",25069,5.02,49599573
2015-04-30,0050,"20,001-30,000",480,1.26,12484861
2015-04-30,0050,"more than 1,000,001",64,79.62,786299789
2015-04-30,0050,total,36228,100.0,987500000
2015-05-08,0050,"15,001-20,000",637,1.2,11890152
2015-05-08,0050,"40,001-50,000",168,0.79,7823991
2015-05-08,0050,"5,001-10,000",3151,2.56,25352526
2015-05-08,0050,"600,001-800,000",10,0.69,6862913
2015-05-08,0050,"200,001-400,000",57,1.67,16567000
2015-05-08,0050,"50,001-100,000",251,1.84,18218334
2015-05-08,0050,"10,001-15,000",854,1.11,11059562
2015-05-08,0050,"800,001-1,000,000",7,0.69,6817000
2015-05-08,0050,"1,000-5,000",25443,5.1,50366832
2015-05-08,0050,"400,001-600,000",23,1.14,11336000
2015-05-08,0050,"20,001-30,000",475,1.24,12341139
2015-05-08,0050,"100,001-200,000",115,1.73,17084000
2015-05-08,0050,1-999,5252,0.11,1128489
2015-05-08,0050,"30,001-40,000",223,0.82,8123112
2015-05-08,0050,"more than 1,000,001",67,79.24,782528950
2015-05-08,0050,total,36733,100.0,987500000
2015-05-15,0050,"100,001-200,000",119,1.78,17625000
2015-05-15,0050,"600,001-800,000",12,0.82,8121500
2015-05-15,0050,"20,001-30,000",505,1.32,13099861
2015-05-15,0050,"1,000-5,000",26238,5.28,52234074
2015-05-15,0050,"200,001-400,000",58,1.7,16804000
2015-05-15,0050,"40,001-50,000",167,0.78,7756843
2015-05-15,0050,"400,001-600,000",26,1.29,12830413
2015-05-15,0050,"15,001-20,000",675,1.27,12557715
2015-05-15,0050,"50,001-100,000",277,2.02,20011340
2015-05-15,0050,"10,001-15,000",927,1.21,12013433
2015-05-15,0050,"800,001-1,000,000",9,0.84,8376000
2015-05-15,0050,1-999,5277,0.11,1132389
2015-05-15,0050,"30,001-40,000",244,0.9,8888394
2015-05-15,0050,"5,001-10,000",3273,2.66,26310394
2015-05-15,0050,"more than 1,000,001",68,77.94,769738644
2015-05-15,0050,total,37875,100.0,987500000
2015-05-22,0050,"40,001-50,000",181,0.84,8421199
2015-05-22,0050,"200,001-400,000",56,1.62,16165000
2015-05-22,0050,"20,001-30,000",517,1.34,13442634
2015-05-22,0050,"5,001-10,000",3335,2.68,26787214
2015-05-22,0050,1-999,5310,0.11,1134234
2015-05-22,0050,"100,001-200,000",127,1.86,18646010
2015-05-22,0050,"400,001-600,000",26,1.28,12805000
2015-05-22,0050,"600,001-800,000",14,0.97,9720913
2015-05-22,0050,"1,000-5,000",26659,5.33,53204107
2015-05-22,0050,"15,001-20,000",694,1.29,12908152
2015-05-22,0050,"30,001-40,000",247,0.9,8991604
2015-05-22,0050,"800,001-1,000,000",8,0.76,7641000
2015-05-22,0050,"50,001-100,000",280,2.02,20193832
2015-05-22,0050,"10,001-15,000",954,1.24,12398608
2015-05-22,0050,total,38478,100.0,997500000
2015-05-22,0050,"more than 1,000,001",70,77.69,775040493
2015-05-29,0050,"20,001-30,000",504,1.31,13088634
2015-05-29,0050,"100,001-200,000",125,1.85,18536000
2015-05-29,0050,"50,001-100,000",282,2.03,20252833
2015-05-29,0050,1-999,5298,0.11,1131750
2015-05-29,0050,"400,001-600,000",26,1.29,12943000
2015-05-29,0050,"30,001-40,000",237,0.86,8639117
2015-05-29,0050,"40,001-50,000",179,0.83,8296199
2015-05-29,0050,"1,000-5,000",26235,5.24,52323121
2015-05-29,0050,"10,001-15,000",935,1.22,12174702
2015-05-29,0050,"5,001-10,000",3260,2.61,26129359
2015-05-29,0050,"200,001-400,000",52,1.46,14604000
2015-05-29,0050,"800,001-1,000,000",10,0.92,9263000
2015-05-29,0050,"15,001-20,000",670,1.24,12464152
2015-05-29,0050,"600,001-800,000",13,0.9,9042913
2015-05-29,0050,"more than 1,000,001",69,78.05,778611220
2015-05-29,0050,total,37895,100.0,997500000
2015-06-05,0050,"15,001-20,000",708,1.38,13189619
2015-06-05,0050,"20,001-30,000",554,1.51,14434654
2015-06-05,0050,"600,001-800,000",12,0.88,8494500
2015-06-05,0050,"100,001-200,000",129,2.0,19100000
2015-06-05,0050,"30,001-40,000",245,0.93,8899180
2015-06-05,0050,"10,001-15,000",1002,1.36,13031628
2015-06-05,0050,"50,001-100,000",286,2.16,20707400
2015-06-05,0050,"800,001-1,000,000",10,0.97,9293000
2015-06-05,0050,1-999,5343,0.11,1141429
2015-06-05,0050,"400,001-600,000",29,1.5,14373000
2015-06-05,0050,"5,001-10,000",3449,2.9,27737022
2015-06-05,0050,"1,000-5,000",27480,5.76,55043351
2015-06-05,0050,"200,001-400,000",60,1.77,16918413
2015-06-05,0050,"40,001-50,000",194,0.94,9042905
2015-06-05,0050,"more than 1,000,001",65,75.76,723593899
2015-06-05,0050,total,39566,100.0,955000000
2015-06-12,0050,"1,000-5,000",28504,5.85,57112930
2015-06-12,0050,"600,001-800,000",10,0.72,7080500
2015-06-12,0050,"100,001-200,000",138,2.08,20337000
2015-06-12,0050,"20,001-30,000",596,1.57,15404891
2015-06-12,0050,"5,001-10,000",3647,3.0,29326957
2015-06-12,0050,"15,001-20,000",741,1.41,13749009
2015-06-12,0050,1-999,5366,0.11,1150287
2015-06-12,0050,"30,001-40,000",269,1.0,9785180
2015-06-12,0050,"400,001-600,000",29,1.44,14128000
2015-06-12,0050,"10,001-15,000",1030,1.37,13378577
2015-06-12,0050,"40,001-50,000",192,0.91,8943455
2015-06-12,0050,"50,001-100,000",299,2.2,21544403
2015-06-12,0050,"200,001-400,000",64,1.85,18066413
2015-06-12,0050,"800,001-1,000,000",11,1.05,10284000
2015-06-12,0050,total,40960,100.0,975000000
2015-06-12,0050,"more than 1,000,001",64,75.35,734708398
2015-06-18,0050,"800,001-1,000,000",11,1.04,10211000
2015-06-18,0050,"15,001-20,000",758,1.44,14081892
2015-06-18,0050,"400,001-600,000",28,1.43,14030000
2015-06-18,0050,"30,001-40,000",263,0.98,9587144
2015-06-18,0050,"200,001-400,000",65,1.87,18288000
2015-06-18,0050,"40,001-50,000",193,0.92,9010489
2015-06-18,0050,"600,001-800,000",11,0.78,7668500
2015-06-18,0050,"50,001-100,000",309,2.27,22197411
2015-06-18,0050,"10,001-15,000",1033,1.37,13431250
2015-06-18,0050,"1,000-5,000",28662,5.89,57501808
2015-06-18,0050,1-999,5392,0.11,1159669
2015-06-18,0050,"100,001-200,000",137,2.07,20204413
2015-06-18,0050,"5,001-10,000",3657,3.01,29434748
2015-06-18,0050,"20,001-30,000",603,1.6,15640185
2015-06-18,0050,"more than 1,000,001",64,75.13,732553491
2015-06-18,0050,total,41186,100.0,975000000
2015-06-26,0050,"1,000-5,000",28037,3.64,56095702
2015-06-26,0050,1-999,5407,0.07,1164506
2015-06-26,0050,"10,001-15,000",1015,0.85,13210951
2015-06-26,0050,"400,001-600,000",22,0.71,11057413
2015-06-26,0050,"800,001-1,000,000",11,0.65,10115000
2015-06-26,0050,"50,001-100,000",292,1.36,20991418
2015-06-26,0050,"200,001-400,000",67,1.24,19193000
2015-06-26,0050,"600,001-800,000",11,0.5,7706500
2015-06-26,0050,"30,001-40,000",256,0.6,9311144
2015-06-26,0050,"5,001-10,000",3544,1.85,28483765
2015-06-26,0050,"40,001-50,000",188,0.57,8778777
2015-06-26,0050,"100,001-200,000",128,1.22,18895000
2015-06-26,0050,"15,001-20,000",703,0.84,13059129
2015-06-26,0050,"20,001-30,000",571,0.96,14838948
2015-06-26,0050,total,40317,100.0,1537500000
2015-06-26,0050,"more than 1,000,001",65,84.85,1304598747
2015-07-03,0050,"10,001-15,000",1002,0.73,13071007
2015-07-03,0050,"40,001-50,000",187,0.49,8727777
2015-07-03,0050,"5,001-10,000",3510,1.58,28207127
2015-07-03,0050,"15,001-20,000",698,0.72,12965904
2015-07-03,0050,"400,001-600,000",22,0.61,10880000
2015-07-03,0050,"800,001-1,000,000",11,0.57,10269000
2015-07-03,0050,"20,001-30,000",567,0.82,14725948
2015-07-03,0050,"50,001-100,000",290,1.17,20923696
2015-07-03,0050,"200,001-400,000",70,1.1,19667413
2015-07-03,0050,"30,001-40,000",256,0.52,9310144
2015-07-03,0050,1-999,5415,0.06,1165416
2015-07-03,0050,"1,000-5,000",27884,3.14,55856357
2015-07-03,0050,"100,001-200,000",124,1.03,18349000
2015-07-03,0050,"600,001-800,000",10,0.4,7145500
2015-07-03,0050,total,40110,100.0,1777500000
2015-07-03,0050,"more than 1,000,001",64,86.98,1546235711
2015-07-09,0050,"600,001-800,000",11,0.43,7723500
2015-07-09,0050,"10,001-15,000",1052,0.77,13703955
2015-07-09,0050,"15,001-20,000",769,0.8,14273744
2015-07-09,0050,"1,000-5,000",29480,3.32,59109830
2015-07-09,0050,"40,001-50,000",192,0.5,8938783
2015-07-09,0050,1-999,5452,0.06,1174580
2015-07-09,0050,"100,001-200,000",132,1.08,19277000
2015-07-09,0050,"30,001-40,000",268,0.54,9699144
2015-07-09,0050,"800,001-1,000,000",12,0.62,11128413
2015-07-09,0050,"5,001-10,000",3734,1.68,29997472
2015-07-09,0050,"20,001-30,000",607,0.89,15828480
2015-07-09,0050,"200,001-400,000",67,1.07,19044000
2015-07-09,0050,"50,001-100,000",305,1.23,21994356
2015-07-09,0050,"400,001-600,000",26,0.71,12784000
2015-07-09,0050,"more than 1,000,001",65,86.23,1532822743
2015-07-09,0050,total,42172,100.0,1777500000
2015-07-17,0050,"100,001-200,000",132,1.07,19040000
2015-07-17,0050,"10,001-15,000",1064,0.77,13866899
2015-07-17,0050,"200,001-400,000",69,1.08,19254000
2015-07-17,0050,"30,001-40,000",292,0.59,10563707
2015-07-17,0050,"600,001-800,000",12,0.47,8504500
2015-07-17,0050,"20,001-30,000",625,0.91,16271752
2015-07-17,0050,"1,000-5,000",29964,3.38,60131767
2015-07-17,0050,"15,001-20,000",778,0.81,14433435
2015-07-17,0050,1-999,5509,0.06,1192632
2015-07-17,0050,"50,001-100,000",306,1.23,21886356
2015-07-17,0050,"800,001-1,000,000",15,0.78,14042413
2015-07-17,0050,"5,001-10,000",3830,1.72,30703268
2015-07-17,0050,"400,001-600,000",24,0.65,11728000
2015-07-17,0050,"40,001-50,000",193,0.5,8998486
2015-07-17,0050,"more than 1,000,001",64,85.91,1528382785
2015-07-17,0050,total,42877,100.0,1779000000
2015-07-24,0050,"200,001-400,000",69,1.07,19083000
2015-07-24,0050,"40,001-50,000",204,0.53,9497355
2015-07-24,0050,"600,001-800,000",14,0.53,9509913
2015-07-24,0050,"800,001-1,000,000",15,0.77,13745000
2015-07-24,0050,"1,000-5,000",30332,3.42,60887862
2015-07-24,0050,"20,001-30,000",628,0.91,16322752
2015-07-24,0050,1-999,5555,0.06,1205450
2015-07-24,0050,"15,001-20,000",790,0.82,14643535
2015-07-24,0050,"30,001-40,000",310,0.63,11258808
2015-07-24,0050,"400,001-600,000",21,0.57,10206000
2015-07-24,0050,"100,001-200,000",132,1.08,19314000
2015-07-24,0050,"10,001-15,000",1103,0.8,14343210
2015-07-24,0050,"5,001-10,000",3872,1.74,31071638
