date,stock_id,country,revenue,revenue_month,revenue_year
2010-02-01,2330,Taiwan,29156271000,1,2010
2010-03-01,2330,Taiwan,29195234000,2,2010
2010-04-01,2330,Taiwan,30823003000,3,2010
2010-05-01,2330,Taiwan,32683232000,4,2010
2010-06-01,2330,Taiwan,33839484000,5,2010
2010-07-01,2330,Taiwan,35113042000,6,2010
2010-08-01,2330,Taiwan,36156392000,7,2010
2010-09-01,2330,Taiwan,36498090000,8,2010
2010-10-01,2330,Taiwan,36652584000,9,2010
2010-11-01,2330,Taiwan,37372507000,10,2010
2010-12-01,2330,Taiwan,35722299000,11,2010
2011-01-01,2330,Taiwan,33751175000,12,2010
2011-02-01,2330,Taiwan,34424173000,1,2011
2011-03-01,2330,Taiwan,31753825000,2,2011
2011-04-01,2330,Taiwan,36370479000,3,2011
2011-05-01,2330,Taiwan,36230359000,4,2011
2011-06-01,2330,Taiwan,35960997000,5,2011
2011-07-01,2330,Taiwan,35653939000,6,2011
2011-08-01,2330,Taiwan,34916788000,7,2011
2011-09-01,2330,Taiwan,37041705000,8,2011
2011-10-01,2330,Taiwan,32860849000,9,2011
2011-11-01,2330,Taiwan,37246661000,10,2011
2011-12-01,2330,Taiwan,35218771000,11,2011
2012-01-01,2330,Taiwan,30566947000,12,2011
2012-02-01,2330,Taiwan,34053091000,1,2012
2012-03-01,2330,Taiwan,33584499000,2,2012
2012-04-01,2330,Taiwan,36611146000,3,2012
2012-05-01,2330,Taiwan,40007591000,4,2012
2012-06-01,2330,Taiwan,43623222000,5,2012
2012-07-01,2330,Taiwan,42869733000,6,2012
2012-08-01,2330,Taiwan,47924170000,7,2012
2012-09-01,2330,Taiwan,48896013000,8,2012
2012-10-01,2330,Taiwan,42816800000,9,2012
2012-11-01,2330,Taiwan,49282571000,10,2012
2012-12-01,2330,Taiwan,43644278000,11,2012
2013-01-01,2330,Taiwan,36558773000,12,2012
2013-02-01,2330,Taiwan,47438687000,1,2013
2013-03-01,2330,Taiwan,41182084000,2,2013
2013-04-01,2330,Taiwan,44134225000,3,2013
2013-05-01,2330,Taiwan,50070645000,4,2013
2013-06-01,2330,Taiwan,51787926000,5,2013
2013-07-01,2330,Taiwan,54027749000,6,2013
2013-08-01,2330,Taiwan,52103384000,7,2013
2013-09-01,2330,Taiwan,55091177000,8,2013
2013-10-01,2330,Taiwan,55382473000,9,2013
2013-11-01,2330,Taiwan,51794813000,10,2013
2013-12-01,2330,Taiwan,44329997000,11,2013
2014-01-01,2330,Taiwan,49681037000,12,2013
2014-02-01,2330,Taiwan,51429993000,1,2014
2014-03-01,2330,Taiwan,46829051000,2,2014
2014-04-01,2330,Taiwan,49956128000,3,2014
2014-05-01,2330,Taiwan,61887391000,4,2014
2014-06-01,2330,Taiwan,60789137000,5,2014
2014-07-01,2330,Taiwan,60343956000,6,2014
2014-08-01,2330,Taiwan,64924870000,7,2014
2014-09-01,2330,Taiwan,69278551000,8,2014
2014-10-01,2330,Taiwan,74846313000,9,2014
2014-11-01,2330,Taiwan,80736353000,10,2014
2014-12-01,2330,Taiwan,72274532000,11,2014
2015-01-01,2330,Taiwan,69510190000,12,2014
2015-02-01,2330,Taiwan,87120068000,1,2015
2015-03-01,2330,Taiwan,62645075000,2,2015
2015-04-01,2330,Taiwan,72269001000,3,2015
2015-05-01,2330,Taiwan,75329510000,4,2015
2015-06-01,2330,Taiwan,70154763000,5,2015
2015-07-01,2330,Taiwan,59955479000,6,2015
2015-08-01,2330,Taiwan,80952810000,7,2015
2015-09-01,2330,Taiwan,67038016000,8,2015
2015-10-01,2330,Taiwan,64514083000,9,2015
2015-11-01,2330,Taiwan,81743395000,10,2015
2015-12-01,2330,Taiwan,63428163000,11,2015
2016-01-01,2330,Taiwan,58347005000,12,2015
2016-02-01,2330,Taiwan,70855235000,1,2016
2016-03-01,2330,Taiwan,59551321000,2,2016
2016-04-01,2330,Taiwan,73088805000,3,2016
2016-05-01,2330,Taiwan,66843310000,4,2016
2016-06-01,2330,Taiwan,73575784000,5,2016
2016-07-01,2330,Taiwan,81390752000,6,2016
2016-08-01,2330,Taiwan,76391654000,7,2016
2016-09-01,2330,Taiwan,94311424000,8,2016
2016-10-01,2330,Taiwan,89702807000,9,2016
2016-11-01,2330,Taiwan,91085318000,10,2016
2016-12-01,2330,Taiwan,93029912000,11,2016
2017-01-01,2330,Taiwan,78112022000,12,2016
2017-02-01,2330,Taiwan,76616258000,1,2017
2017-03-01,2330,Taiwan,71422961000,2,2017
2017-04-01,2330,Taiwan,85875181000,3,2017
2017-05-01,2330,Taiwan,56871933000,4,2017
2017-06-01,2330,Taiwan,72795974000,5,2017
2017-07-01,2330,Taiwan,84187305000,6,2017
2017-08-01,2330,Taiwan,71611190000,7,2017
2017-09-01,2330,Taiwan,91917167000,8,2017
2017-10-01,2330,Taiwan,88578988000,9,2017
2017-11-01,2330,Taiwan,94519722000,10,2017
2017-12-01,2330,Taiwan,93153310000,11,2017
2018-01-01,2330,Taiwan,89897252000,12,2017
2018-02-01,2330,Taiwan,79740672000,1,2018
2018-03-01,2330,Taiwan,64640562000,2,2018
2018-04-01,2330,Taiwan,103697437000,3,2018
2018-05-01,2330,Taiwan,81869781000,4,2018
2018-06-01,2330,Taiwan,80968732000,5,2018
2018-07-01,2330,Taiwan,70438298000,6,2018
2018-08-01,2330,Taiwan,74370924000,7,2018
2018-09-01,2330,Taiwan,91055038000,8,2018
2018-10-01,2330,Taiwan,94921920000,9,2018
2018-11-01,2330,Taiwan,101550181000,10,2018
2018-12-01,2330,Taiwan,98389414000,11,2018
2019-01-01,2330,Taiwan,89830598000,12,2018
2019-02-01,2330,Taiwan,78093827000,1,2019
2019-03-01,2330,Taiwan,60889055000,2,2019
2019-04-01,2330,Taiwan,79721587000,3,2019
2019-05-01,2330,Taiwan,74693615000,4,2019
2019-06-01,2330,Taiwan,80436931000,5,2019
2019-07-01,2330,Taiwan,85867929000,6,2019
2019-08-01,2330,Taiwan,84757724000,7,2019
2019-09-01,2330,Taiwan,106117619000,8,2019
2019-10-01,2330,Taiwan,102170096000,9,2019
2019-11-01,2330,Taiwan,106039531000,10,2019
2019-12-01,2330,Taiwan,107884396000,11,2019
2020-01-01,2330,Taiwan,103313138000,12,2019
2020-02-01,2330,Taiwan,103683135000,1,2020
2020-03-01,2330,Taiwan,93394449000,2,2020
2020-04-01,2330,Taiwan,113519599000,3,2020
2020-05-01,2330,Taiwan,96001572000,4,2020
2020-06-01,2330,Taiwan,93819010000,5,2020
2020-07-01,2330,Taiwan,120877785000,6,2020
2020-08-01,2330,Taiwan,105963468000,7,2020
2020-09-01,2330,Taiwan,122878244000,8,2020
2020-10-01,2330,Taiwan,127584492000,9,2020
2020-11-01,2330,Taiwan,119302707000,10,2020
2020-12-01,2330,Taiwan,124865438000,11,2020
2021-01-01,2330,Taiwan,117364912000,12,2020
2021-02-01,2330,Taiwan,126749152000,1,2021
2021-03-01,2330,Taiwan,106533690000,2,2021
2021-04-01,2330,Taiwan,129127388000,3,2021
2021-05-01,2330,Taiwan,111314794000,4,2021
2021-06-01,2330,Taiwan,112359668000,5,2021
2021-07-01,2330,Taiwan,148470660000,6,2021
2021-08-01,2330,Taiwan,124557799000,7,2021
2021-09-01,2330,Taiwan,137427162000,8,2021
2021-10-01,2330,Taiwan,152685418000,9,2021
2021-11-01,2330,Taiwan,134539477000,10,2021
2021-12-01,2330,Taiwan,148267599000,11,2021
2022-01-01,2330,Taiwan,155382230000,12,2021
2022-02-01,2330,Taiwan,172176110000,1,2022
2022-03-01,2330,Taiwan,146933238000,2,2022
2022-04-01,2330,Taiwan,171966525000,3,2022
2022-05-01,2330,Taiwan,172561382000,4,2022
2022-06-01,2330,Taiwan,185705425000,5,2022
2022-07-01,2330,Taiwan,175874001000,6,2022
2022-08-01,2330,Taiwan,186762689000,7,2022
2022-09-01,2330,Taiwan,218132391000,8,2022
2022-10-01,2330,Taiwan,208247663000,9,2022
2022-11-01,2330,Taiwan,210265633000,10,2022
2022-12-01,2330,Taiwan,222705993000,11,2022
2023-01-01,2330,Taiwan,192560242000,12,2022
2023-02-01,2330,Taiwan,200050544000,1,2023
2023-03-01,2330,Taiwan,163174097000,2,2023
2023-04-01,2330,Taiwan,145408332000,3,2023
2023-05-01,2330,Taiwan,147899735000,4,2023
2023-06-01,2330,Taiwan,176537345000,5,2023
2023-07-01,2330,Taiwan,156404174000,6,2023
2023-08-01,2330,Taiwan,177616220000,7,2023
2023-09-01,2330,Taiwan,188686256000,8,2023
2023-10-01,2330,Taiwan,180430282000,9,2023
2023-11-01,2330,Taiwan,243202811000,10,2023
2023-12-01,2330,Taiwan,206026179000,11,2023
2024-01-01,2330,Taiwan,176299866000,12,2023
