date,stock_id,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering
2019-01-02,2618,12904000,144000,338000,0,12710000,1095530369,32901050,1158000,0,0,34059050,4963949,0
2019-01-03,2618,12710000,143000,686000,63000,12104000,1095530369,34059050,1250000,707000,0,34602050,4992937,0
2019-01-04,2618,12104000,226000,260000,202000,11868000,1095530369,34602050,129000,150000,0,34581050,5035408,0
2019-01-07,2618,11868000,27000,0,191000,11704000,1095530369,34581050,131000,728000,0,33984050,5088059,0
2019-01-08,2618,11704000,655000,0,146000,12213000,1095530369,33984050,786000,323000,0,34447050,4977768,0
2019-01-09,2618,12213000,585000,101000,90000,12607000,1095530369,34447050,935000,297000,0,35085050,4812036,0
2019-01-10,2618,12607000,55000,250000,100000,12312000,1095530369,35085050,535000,43000,0,35577050,3981687,0
2019-01-11,2618,12312000,190000,928000,0,11574000,1095530369,35577050,3092000,300000,0,38369050,3696581,0
2019-01-14,2618,11574000,940000,1039000,254000,11221000,1096771922,38369050,2946000,0,0,41315050,3639561,0
2019-01-15,2618,11221000,1010000,281000,1446000,10504000,1096771922,41315050,3415000,91000,0,44639050,3485100,0
2019-01-16,2618,10504000,622000,529000,1055000,9542000,1096771922,44639050,2643000,0,0,47282050,3437368,0
2019-01-17,2618,9542000,323000,147000,281000,9437000,1096771922,47282050,899000,54000,0,48127050,3412248,0
2019-01-18,2618,9437000,454000,74000,303000,9514000,1096771922,48127050,943000,1043000,0,48027050,3343711,0
2019-01-21,2618,9514000,7115000,896000,24000,15709000,1096771922,48027050,2320000,0,0,50347050,3491515,0
2019-01-22,2618,15709000,1574000,377000,199000,16707000,1096771922,50347050,1080000,0,0,51427050,3583897,0
2019-01-23,2618,16707000,2572000,265000,21000,18993000,1096771922,51427050,1716000,0,0,53143050,3647413,0
2019-01-24,2618,18993000,823000,127000,10000,19679000,1096771922,53143050,516000,0,0,53659050,3683324,0
2019-01-25,2618,19679000,514000,68000,243000,19882000,1096771922,53659050,2460000,0,0,56119050,3693927,0
2019-01-28,2618,19882000,725000,38000,444000,20125000,1171771922,56119050,744000,0,0,56863050,3693467,0
2019-01-29,2618,20125000,23000,13677000,2639000,3832000,1171771922,56863050,218000,9564000,0,47517050,4178145,0
2019-01-30,2618,3832000,1000,614000,96000,3123000,1171771922,47517050,208000,152000,0,47573050,4184085,0
2019-02-11,2618,3002000,219000,78000,56000,3087000,1171771922,47573050,0,1239000,-20700000,25634050,4082713,0
2019-02-12,2618,3090000,1000,223000,17000,2851000,1171771922,25634050,0,3190000,0,22444050,4097933,0
2019-02-13,2618,2851000,40000,30000,103000,2758000,1171771922,22444050,0,237000,0,22207050,4077261,0
2019-02-14,2618,2758000,20000,110000,12000,2656000,1171771922,22207050,168000,298000,0,22077050,4045936,0
2019-02-15,2618,2656000,40000,41000,0,2655000,1171771922,22077050,164000,41000,0,22200050,4004238,0
2019-02-18,2618,2655000,0,28000,0,2627000,1171771922,22200050,7000,150000,0,22057050,3969378,0
2019-02-19,2618,2627000,27000,11000,0,2643000,1171771922,22057050,25000,0,0,22082050,3971546,0
2019-02-20,2618,2643000,18000,1000,0,2660000,1171771922,22082050,0,446000,0,21636050,4012810,0
2019-02-21,2618,2660000,30000,26000,188000,2476000,1171771922,21636050,0,200000,0,21436050,3993932,0
2019-02-22,2618,2476000,3000,4000,98000,2377000,1171771922,21436050,0,132000,0,21304050,3969108,0
2019-02-25,2618,2377000,53000,11000,0,2419000,1171771922,21304050,14000,105000,0,21213050,3947997,0
2019-02-26,2618,2419000,5000,39000,2000,2383000,1171771922,21213050,2000,100000,0,21115050,4016423,0
