date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2019-01-02,2618,580,10,1095530,478,22145,22053, ,0,338,0,1095530,144,12710,12904
2019-01-03,2618,292,0,1095530,555,21882,22145, ,5,686,63,1095530,143,12104,12710
2019-01-04,2618,260,1,1095530,505,21636,21882, ,8,260,202,1095530,226,11868,12104
2019-01-07,2618,198,0,1095530,250,21584,21636, ,0,0,191,1095530,27,11704,11868
2019-01-08,2618,232,1,1095530,163,21652,21584, ,0,0,146,1095530,655,12213,11704
2019-01-09,2618,737,3,1095530,320,22066,21652, ,8,101,90,1095530,585,12607,12213
2019-01-10,2618,222,3,1095530,398,21887,22066, ,0,250,100,1095530,55,12312,12607
2019-01-11,2618,707,1,1095530,1146,21447,21887, ,0,928,0,1095530,190,11574,12312
2019-01-14,2618,1554,0,1096771,135,22866,21447, ,1,1039,254,1096771,940,11221,11574
2019-01-15,2618,234,0,1096771,151,22949,22866, ,1,281,1446,1096771,1010,10504,11221
2019-01-16,2618,454,0,1096771,372,23031,22949, ,2,529,1055,1096771,622,9542,10504
2019-01-17,2618,323,1,1096771,301,23052,23031, ,0,147,281,1096771,323,9437,9542
2019-01-18,2618,608,0,1096771,28,23632,23052, ,1,74,303,1096771,454,9514,9437
2019-01-21,2618,3052,6,1096771,241,26437,23632, ,21,896,24,1096771,7115,15709,9514
2019-01-22,2618,1825,0,1096771,397,27865,26437, ,17,377,199,1096771,1574,16707,15709
2019-01-23,2618,1993,30,1096771,353,29475,27865, ,1,265,21,1096771,2572,18993,16707
2019-01-24,2618,428,0,1096771,200,29703,29475, ,1,127,10,1096771,823,19679,18993
2019-01-25,2618,164,0,1096771,757,29110,29703, ,0,68,243,1096771,514,19882,19679
2019-01-28,2618,1306,31,1171771,296,30089,29110, ,0,38,444,1171771,725,20125,19882
2019-01-29,2618,3026,5,1171771,642,32468,30089, ,9,13677,2639,1171771,23,3832,20125
2019-01-30,2618,938,4,1171771,211,33191,32468, ,7,614,96,1171771,1,3123,3832
2019-02-11,2618,2221,13,1171771,1692,32657,32141, ,18,78,56,1171771,219,3087,3002
2019-02-12,2618,1037,5,1171771,459,34269,33696, ,22,223,17,1171771,1,2851,3090
2019-02-13,2618,481,0,1171771,556,34194,34269, ,5,30,103,1171771,40,2758,2851
2019-02-14,2618,1073,0,1171771,427,34840,34194, ,0,110,12,1171771,20,2656,2758
2019-02-15,2618,125,0,1171771,574,34391,34840, ,5,41,0,1171771,40,2655,2656
2019-02-18,2618,171,0,1171771,847,33715,34391, ,2,28,0,1171771,0,2627,2655
2019-02-19,2618,138,0,1171771,865,32988,33715, ,10,11,0,1171771,27,2643,2627
2019-02-20,2618,309,8,1171771,921,32368,32988, ,0,1,0,1171771,18,2660,2643
2019-02-21,2618,280,0,1171771,316,32332,32368, ,0,26,188,1171771,30,2476,2660
2019-02-22,2618,235,1,1171771,322,32244,32332, ,0,4,98,1171771,3,2377,2476
2019-02-25,2618,137,5,1171771,932,31444,32244, ,0,11,0,1171771,53,2419,2377
2019-02-26,2618,774,0,1171771,2018,30200,31444, ,2,39,2,1171771,5,2383,2419
2019-02-27,2618,1500,9,1171771,2710,28981,30200, ,6,87,1,1171771,473,2768,2383
2019-03-04,2618,855,0,1171771,971,28865,28981, ,10,72,10,1171771,232,2918,2768
2019-03-05,2618,276,4,1171771,621,28516,28865, ,2,176,0,1171771,17,2759,2918
2019-03-06,2618,604,0,1171771,126,28994,28516, ,0,365,0,1171771,2,2396,2759
2019-03-07,2618,142,0,1171771,603,28533,28994, ,0,13,0,1171771,23,2406,2396
2019-03-08,2618,506,0,1171771,477,28562,28533, ,0,7,1,1171771,4,2402,2406
2019-03-11,2618,357,0,1171771,998,27921,28562, ,0,109,0,1171771,0,2293,2402
2019-03-12,2618,623,209,1171771,342,27993,27921, ,0,4,0,1171771,35,2324,2293
2019-03-13,2618,348,0,1171771,327,28014,27993, ,2,40,0,1171771,5,2289,2324
2019-03-14,2618,281,0,1171771,686,27609,28014, ,0,275,0,1171771,12,2026,2289
2019-03-15,2618,55,0,1171771,315,27349,27609, ,0,5,2,1171771,61,2080,2026
2019-03-18,2618,118,0,1171771,85,27382,27349, ,0,1,0,1171771,65,2144,2080
2019-03-19,2618,300,1,1171771,132,27549,27382, ,0,14,0,1171771,2,2132,2144
2019-03-20,2618,552,0,1171771,191,27910,27549, ,0,80,34,1171771,41,2059,2132
2019-03-21,2618,263,0,1171771,807,27366,27910, ,0,737,0,1171771,11,1333,2059
2019-03-22,2618,209,0,1171771,1421,26154,27366, ,0,166,34,1171771,0,1133,1333
2019-03-25,2618,123,0,1171771,558,25719,26154, ,10,186,0,1171771,41,988,1133
2019-03-26,2618,134,25,1171771,58,25770,25719, ,0,164,0,1171771,3,827,988
2019-03-27,2618,617,0,1171771,158,26229,25770, ,0,109,0,1171771,0,718,827
2019-03-28,2618,644,0,1171771,90,26783,26229, ,2,13,0,1171771,2,707,718
2019-03-29,2618,294,10,1171771,1470,25597,26783, ,2,100,0,1171771,0,607,707
2019-04-01,2618,470,0,1171771,463,25604,25597, ,0,17,0,1171771,0,590,607
2019-04-02,2618,114,0,1171771,517,25201,25604, ,0,7,0,1171771,0,583,590
2019-04-03,2618,548,0,1171771,1053,24696,25201, ,0,2,0,1171771,0,581,583
2019-04-08,2618,1235,0,1171771,818,25113,24696, ,0,2,6,1171771,12,585,581
2019-04-09,2618,327,25,1171771,640,24775,25113, ,0,4,0,1171771,0,581,585
2019-04-10,2618,60,0,1171771,605,24230,24775, ,0,0,0,1171771,61,642,581
2019-04-11,2618,1134,10,1171771,363,24991,24230, ,0,1,0,1171771,0,641,642
2019-04-12,2618,2737,0,1171823,574,27154,24991, ,0,50,0,1171823,334,925,641
2019-04-15,2618,3542,0,1171823,2316,28380,27154, ,217,20,0,1171823,3430,4335,925
